sample-id	Barcode-sequence	LinkerPrimerSequence	InputFileName	Description	SampleName	Number	Province	Location	Plant 	SampleType	Site	DateCollected	Colony	DNANg 
B35	N/A	N/A	B35_9_L001_R1_001.fastq.gz	BCC_16S_R2_35	BCFV1-WF-3P	35	BC	Fraser Valley	Wild forage	Pollen	3	14-May-21	1	0.76
B36	N/A	N/A	B36_9_L001_R1_001.fastq.gz	BCC_16S_R2_36	BCFV1-WF-4P	36	BC	Fraser Valley	Wild forage	Pollen	4	14-May-21	1	3.67
B37	N/A	N/A	B37_9_L001_R1_001.fastq.gz	BCC_16S_R2_37	BCFV2-WF-1P	37	BC	Fraser Valley	Wild forage	Pollen	1	14-May-21	2	1.82
B38	N/A	N/A	B38_9_L001_R1_001.fastq.gz	BCC_16S_R2_38	BCFV2-WF-2P	38	BC	Fraser Valley	Wild forage	Pollen	2	14-May-21	2	1.39
B39	N/A	N/A	B39_9_L001_R1_001.fastq.gz	BCC_16S_R2_39	BCFV2-WF-3P	39	BC	Fraser Valley	Wild forage	Pollen	3	14-May-21	2	1.1
B40	N/A	N/A	B40_9_L001_R1_001.fastq.gz	BCC_16S_R2_40	BCFV2-WF-4P	40	BC	Fraser Valley	Wild forage	Pollen	4	14-May-21	2	5.67
B41	N/A	N/A	B41_9_L001_R1_001.fastq.gz	BCC_16S_R2_41	BCCV1-AP-T1	41	BC	Creston Valley	Apple	Leaf and Flower 	1	Spring 2021	Col 1-5	38.65
B42	N/A	N/A	B42_9_L001_R1_001.fastq.gz	BCC_16S_R2_42	BCCV1-AP-T2	42	BC	Creston Valley	Apple	Leaf and Flower 	1	Leaf	Col 6-10	63.5
B43	N/A	N/A	B43_9_L001_R1_001.fastq.gz	BCC_16S_R2_43	BCCV2-AP-T1	43	BC	Creston Valley	Apple	Leaf and Flower 	2	Spring 2021	Col 1-5	32.95
B44	N/A	N/A	B44_9_L001_R1_001.fastq.gz	BCC_16S_R2_44	BCCV2-AP-T2	44	BC	Creston Valley	Apple	Leaf and Flower 	2	Spring 2021	Col 6-10	45
B45	N/A	N/A	B45_9_L001_R1_001.fastq.gz	BCC_16S_R2_45	BCCV3-AP-T1	45	BC	Creston Valley	Apple	Leaf and Flower 	3	Spring 2021	Col 1-5	31.65
B46	N/A	N/A	B46_9_L001_R1_001.fastq.gz	BCC_16S_R2_46	BCCV3-AP-T2	46	BC	Creston Valley	Apple	Leaf and Flower 	3	Spring 2021	Col 6-10	52
B47	N/A	N/A	B47_9_L001_R1_001.fastq.gz	BCC_16S_R2_47	BCFV1-BB-T1	47	BC	Fraser Valley	Blueberry	Leaf and Flower 	1	14-May-21	Col 1-5	8.47
B48	N/A	N/A	B48_9_L001_R1_001.fastq.gz	BCC_16S_R2_48	BCFV2-BB-T2	48	BC	Fraser Valley	Blueberry	Leaf and Flower 	1	14-May-21	Col 6-10	3.21
B49	N/A	N/A	B49_9_L001_R1_001.fastq.gz	BCC_16S_R2_49	BCFV2-BB-T1	49	BC	Fraser Valley	Blueberry	Leaf and Flower 	2	14-May-21	Col 1-5	3.14
B50	N/A	N/A	B50_9_L001_R1_001.fastq.gz	BCC_16S_R2_50	BCFV1-BB-T2	50	BC	Fraser Valley	Blueberry	Leaf and Flower 	2	14-May-21	Col 6-10	3.23
B51	N/A	N/A	B51_9_L001_R1_001.fastq.gz	BCC_16S_R2_51	BCCV1-CH-T1	51	BC	Creston Valley	Cherry	Leaf and Flower 	1	Spring 2021	Col 1-5	26.15
B52	N/A	N/A	B52_9_L001_R1_001.fastq.gz	BCC_16S_R2_52	BCCV1-CH-T2	52	BC	Creston Valley	Cherry	Leaf and Flower 	1	Spring 2021	Col 6-10	41.35
B53	N/A	N/A	B53_9_L001_R1_001.fastq.gz	BCC_16S_R2_53	BCCV2-CH-T1	53	BC	Creston Valley	Cherry	Leaf and Flower 	2	Spring 2021	Col 1-5	127
B54	N/A	N/A	B54_9_L001_R1_001.fastq.gz	BCC_16S_R2_54	BCCV2-CH-T2	54	BC	Creston Valley	Cherry	Leaf and Flower 	2	Spring 2021	Col 6-10	64
B55	N/A	N/A	B55_9_L001_R1_001.fastq.gz	BCC_16S_R2_55	BCCV3-CH-T1	55	BC	Creston Valley	Cherry	Leaf and Flower 	3	Spring 2021	Col 1-5	85.5
B56	N/A	N/A	B56_9_L001_R1_001.fastq.gz	BCC_16S_R2_56	BCCV3-CH-T2	56	BC	Creston Valley	Cherry	Leaf and Flower 	3	Spring 2021	Col 6-10	75.5
C01	N/A	N/A	C01_9_L001_R1_001.fastq.gz	16S_ON_B01	ONJF1-AT-1F	57	ON	AAFC Jordan Farm	Apricot	Forager	N/A	18-Apr	1	131.04
C02	N/A	N/A	C02_9_L001_R1_001.fastq.gz	16S_ON_B02	ONJF1-AT-2F	58	ON	AAFC Jordan Farm	Apricot	Forager	N/A	18-Apr	2	110.93
C03	N/A	N/A	C03_9_L001_R1_001.fastq.gz	16S_ON_B03	ONJF1-AT-3F	59	ON	AAFC Jordan Farm	Apricot	Forager	N/A	18-Apr	3	97.27
C04	N/A	N/A	C04_9_L001_R1_001.fastq.gz	16S_ON_B04	ONJF1-CH-1F	60	ON	AAFC Jordan Farm	Cherry	Forager	N/A	6-May	1	57.85
C05	N/A	N/A	C05_9_L001_R1_001.fastq.gz	16S_ON_B05	ONJF1-CH-2F	61	ON	AAFC Jordan Farm	Cherry	Forager	N/A	6-May	2	98.45
C06	N/A	N/A	C06_9_L001_R1_001.fastq.gz	16S_ON_B06	ONJF1-CH-3F	62	ON	AAFC Jordan Farm	Cherry	Forager	N/A	6-May	3	74.84
C07	N/A	N/A	C07_9_L001_R1_001.fastq.gz	16S_ON_B07	ONJF1-PE-1F	63	ON	AAFC Jordan Farm	Peach	Forager	N/A	12-May	1	68.07
C08	N/A	N/A	C08_9_L001_R1_001.fastq.gz	16S_ON_B08	ONJF1-PE-2F	64	ON	AAFC Jordan Farm	Peach	Forager	N/A	12-May	2	35.43
C09	N/A	N/A	C09_9_L001_R1_001.fastq.gz	16S_ON_B09	ONJF1-PE-3F	65	ON	AAFC Jordan Farm	Peach	Forager	N/A	12-May	3	52.38
C10	N/A	N/A	C10_9_L001_R1_001.fastq.gz	16S_ON_B10	ONJF1-AP-1F	66	ON	AAFC Jordan Farm	Apple	Forager	N/A	19-May	1	119.36
C11	N/A	N/A	C11_9_L001_R1_001.fastq.gz	16S_ON_B11	ONJF1-AP-2F	67	ON	AAFC Jordan Farm	Apple	Forager	N/A	19-May	2	142.67
C12	N/A	N/A	C12_9_L001_R1_001.fastq.gz	16S_ON_B12	ONJF1-AP-3F	68	ON	AAFC Jordan Farm	Apple	Forager	N/A	19-May	3	42.64
C13	N/A	N/A	C13_9_L001_R1_001.fastq.gz	16S_ON_B13	ONJF1-AT-1H	69	ON	AAFC Jordan Farm	Apricot	Hive	N/A	18-Apr	1	99.66
C14	N/A	N/A	C14_9_L001_R1_001.fastq.gz	16S_ON_B14	ONJF1-AT-2H	70	ON	AAFC Jordan Farm	Apricot	Hive	N/A	20-Apr	2	82.4
C15	N/A	N/A	C15_9_L001_R1_001.fastq.gz	16S_ON_B15	ONJF1-AT-3H	71	ON	AAFC Jordan Farm	Apricot	Hive	N/A	23-Apr	3	80.91
C16	N/A	N/A	C16_9_L001_R1_001.fastq.gz	16S_ON_B16	ONJF1-CH-1H	72	ON	AAFC Jordan Farm	Cherry	Hive	N/A	6-May	1	70.44
C17	N/A	N/A	C17_9_L001_R1_001.fastq.gz	16S_ON_B17	ONJF1-CH-2H	73	ON	AAFC Jordan Farm	Cherry	Hive	N/A	6-May	2	41.44
C18	N/A	N/A	C18_9_L001_R1_001.fastq.gz	16S_ON_B18	ONJF1-CH-3H	74	ON	AAFC Jordan Farm	Cherry	Hive	N/A	6-May	3	36.68
C19	N/A	N/A	C19_9_L001_R1_001.fastq.gz	16S_ON_B19	ONJF1-PE-1H	75	ON	AAFC Jordan Farm	Peach	Hive	N/A	12-May	1	25.71
C20	N/A	N/A	C20_9_L001_R1_001.fastq.gz	16S_ON_B20	ONJF1-PE-2H	76	ON	AAFC Jordan Farm	Peach	Hive	N/A	12-May	2	14.92
C21	N/A	N/A	C21_9_L001_R1_001.fastq.gz	16S_ON_B21	ONJF1-PE-3H	77	ON	AAFC Jordan Farm	Peach	Hive	N/A	12-May	3	7.83
C22	N/A	N/A	C22_9_L001_R1_001.fastq.gz	16S_ON_B22	ONJF1-AP-1H	78	ON	AAFC Jordan Farm	Apple	Hive	N/A	19-May	1	11.24
C23	N/A	N/A	C23_9_L001_R1_001.fastq.gz	16S_ON_B23	ONJF1-AP-2H	79	ON	AAFC Jordan Farm	Apple	Hive	N/A	19-May	2	61.28
C24	N/A	N/A	C24_9_L001_R1_001.fastq.gz	16S_ON_B24	ONJF1-AP-3H	80	ON	AAFC Jordan Farm	Apple	Hive	N/A	19-May	3	56.22
C25	N/A	N/A	C25_9_L001_R1_001.fastq.gz	16S_ON_B25	ONJF1-AT-3P	81	ON	AAFC Jordan Farm	Apricot	Pollen	N/A	27-Apr	3	19.92
C26	N/A	N/A	C26_9_L001_R1_001.fastq.gz	16S_ON_B26	ONJF1-AT-4P	82	ON	AAFC Jordan Farm	Apricot	Pollen	N/A	4-May	4	21.09
C27	N/A	N/A	C27_9_L001_R1_001.fastq.gz	16S_ON_B27	ONJF1-CH-2P	83	ON	AAFC Jordan Farm	Cherry	Pollen	N/A	9-May	2	52.88
C28	N/A	N/A	C28_9_L001_R1_001.fastq.gz	16S_ON_B28	ONJF1-CH-3P	84	ON	AAFC Jordan Farm	Cherry	Pollen	N/A	9-May	3	11.19
C29	N/A	N/A	C29_9_L001_R1_001.fastq.gz	16S_ON_B29	ONJF1-CH-4P	85	ON	AAFC Jordan Farm	Cherry	Pollen	N/A	9-May	4	12.85
